"Product Name","SKU","Collection","Sipsy Price","Competitor Low Price","Competitor Low URL","Competitor Median Price","Competitor Median URL","Competitor High Price","Competitor High URL","Price Diff vs Low","Price Diff vs Median","Notes"
"Blanton's Single Barrel Bourbon - 750ml","","","149.99","99.89","https://bestbuyliquors.com/blantons-the-original-single-barrel-kentucky-straight-bourbon-whiskey","119.99","https://woodencork.com/products/blantons-bourbon","164.97","https://flaskfinewines.com/products/blantons-single-barrel-bourbon-onlin","50.1","30.0","Prices extracted from search results for 750ml bottles. Total Wine listing lacks specific price. Sorted prices: 99.89, 118.99, 119.99, 134.99, 159.99, 164.97. Median is middle value (119.99). Amazon, Vivino, Liquor.com not found in results."
"Eagle Rare Kentucky Straight Bourbon Whiskey - 750ml","","","59.99","67.99","https://onlineliquor.com/products/eagle_rare_bourbon_10_year_whiskey_750ml","79.99","https://www.nestorliquor.com/products/eagle-rare-10-year-bourbon","89.99","https://www.nestorliquor.com/products/eagle-rare-10-year-bourbon","-8.0","-20.0","Prices for Eagle Rare 10 Year 750ml (standard product; 17yr is much higher). No current prices found directly from Amazon, Total Wine, Vivino, or Liquor.com in results; sourced from available retailers like OnlineLiquor and Nestor Liquor. Actual prices fluctuate due to scarcity."
"Buffalo Trace Straight Bourbon Whiskey - 750ml","","","24.99","19.89","https://elcerritoliquor.com/products/buffalo-trace-bourbon-whiskey-750ml","27.99","https://kegnbottle.com/products/buffalo-trace-750-ml","39.99","https://theliquorbros.com/collections/buffalo-trace-bourbon","5.1","-3.0","Prices from various online retailers; none directly from Amazon, Vivino, or Liquor.com in results. Total Wine shows ~$25 but no exact price[9]. Average ex-tax $33[1]. Original prices sometimes higher with discounts applied."
"1792 Small Batch Bourbon - 750ml","","","35.99","27.99","https://www.remedyliquor.com/products/1792-bourbon-small-batch-kentucky-93-7pf-750ml","30","https://www.wine-searcher.com/find/1792+small+batch+straight+bourbon+whisky+kentucky+usa/1/usa/usd","37.99","https://kegnbottle.com/products/copy-of-1792-small-batch-750-ml","8.0","5.99","Prices from various online retailers; Total Wine listing lacks specific price in results. Wine-Searcher avg $30 used as median. Lowest from Remedy Liquor, highest from Keg N Bottle. Some sites like Sunset Liquor show $16 sale but unclear if active/available."
"Macallan Double Cask 12 Year Old Single Malt Scotch Whisky - 750ml","","","79.99","60","https://spiritory.com/blog/the-macallan-12-years-old-a-comparison-of-editions-en/","88","https://www.wine-searcher.com/find/the+macallan+double+cask+twelve+old+single+malt+scotch+whisky+highlands+speyside+scotland/1/usa-ga","89.99","https://whiskyshopusa.com/macallan-12-year-old-double-cask/","19.99","-8.01","Prices from search results; Total Wine listing lacks specific price. No data from Amazon, Vivino, or Liquor.com. Liquor Barn shows $79.99 but unavailable. Prices approximate US market ex-tax where noted."
"Woodford Reserve - 750ml","","","36.99","34.99","https://www.thebarreltap.com/collections/woodford-reserve","39.99","https://applejack.com/Woodford-Reserve-Kentucky-Straight-Bourbon-Whiskey-750-ml","49.99","https://shop.theopenbottle.com/products/woodford-reserve-bourbon-750ml","2.0","-3.0","Prices for Woodford Reserve Kentucky Straight Bourbon Whiskey 750ml from available sources; no specific prices found on Amazon, Total Wine, Vivino, or Liquor.com in results. Lowest from The Barrel Tap ($34.99 sale), median approximated from available ($39.99 reg at Applejack), highest from The Open Bottle ($49.99). Averages around $38-39 noted on Wine-Searcher."
"Yamazaki Distiller’s Reserve - 750ml","","","89.99","75.99","https://www.totalwine.com/spirits/japanese-whisky/yamazaki-distillers-reserve-single-malt/p/2126233903","99.99","https://shopwinedirect.com/suntory-the-yamazaki-distillers-reserve-single-malt-japanese-whisky-750ml.html","102.99","https://www.caskers.com/the-yamazaki-distillers-reserve-single-malt-whisky-750/","14.0","-10.0","Prices from Total Wine ($75.99), Shop Wine Direct ($99.99), Old Town Tequila ($99.99), Flaviar ($96.99), ShopSK ($89.99), Caskers ($102.99). No prices found from Amazon, Vivino, or Liquor.com in results. Median calculated from sorted prices: 75.99, 89.99, 96.99, 99.99, 99.99, 102.99."
"Jim Beam Dodgers 8th Edition - 750ml","","","59.99","14.99","https://www.hiproof.com/products/jim-beam-straight-bourbon-dodgers-8th-title-champions-edition-special-release-109-proof","28","https://www.wine-searcher.com/find/jim+beam+champion+edition+l+a+dodger+eight+tittle+straight+bourbon+whisky+kentucky+usa/0","69.99","https://theliquorbros.com/products/jim-beam-bourbon-dodgers-8th-title-champions-edition","45.0","31.99","Prices from various online retailers (not limited to specified ones like Amazon, Total Wine, Vivino, Liquor.com as no direct listings found there). Some are sale prices, others regular; availability limited. Median approximated from available data points."
"The Macallan 12 Year Old Sherry Oak Cask Single Malt Scotch Whisky - 750ml","","","99.99","79.97","https://woodencork.com/products/the-macallan-12-year-old-sherry-oak","97","https://www.wine-searcher.com/find/the+macallan+sherry+oak+cask+twelve+old+single+malt+scotch+whisky+speyside+highlands+scotland","99.99","https://whiskyshopusa.com/macallan-12-year-old-sherry-oak-cask/","20.02","2.99","Prices from search results (Wooden Cork $79.97, Wine-Searcher avg $97, Whisky Shop $99.99); no direct prices found from Amazon, Total Wine, Vivino, or Liquor.com in results. Total Wine link present but no price listed."
"Johnnie Walker Blue Label Blended Scotch Whisky - 750ml","","","199.99","159.99","https://www.totalwine.com/spirits/scotch/blended-scotch/johnnie-walker-blue-label-blended-scotch/p/4372750","199.99","https://wineanthology.com/20136-johnnie-walker-blue-label-blended-scotch-whisky","249.99","https://www.thebarreltap.com/products/johnnie-walker-blue-label","40.0","0.0","Prices from Total Wine ($159.99)[4], PJ Wine ($169.99)[5], Fine Liquors ($179)[1], Wine Anthology ($199.99)[6], The Barrel Tap ($249.99)[7]. No prices found from Amazon, Vivino, or Liquor.com in results. Median calculated from available retailer prices."
